"platform","neighbourhood_id","room_type_id","kitchen","tv","wifi","gym","elevator","fridge","heating","hair_dryer","air_conditioning","hot_tub","oven","bbq","coffee","pool","balcony","furniture","microwave","beds","accommodates","bathrooms","bedrooms","price"
"airbnb",10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1",2,NULL,NULL,"50.66"
"airbnb",3,1,1,1,1,0,0,1,1,1,0,0,1,0,1,0,0,0,0,"1",2,NULL,"1","76.44"
"airbnb",12,2,1,0,1,0,1,1,1,1,0,0,1,0,1,0,0,0,0,"1",2,"1","1","36.84"
"airbnb",17,1,1,0,1,0,0,1,1,1,0,0,1,0,1,0,0,0,0,"2",4,NULL,"2","59.87"
"airbnb",22,1,1,1,1,0,1,1,1,1,0,0,1,0,1,0,1,1,1,"2",4,"1","1","84.73"
"airbnb",9,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,NULL,4,NULL,"2",NULL
"airbnb",3,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,"3",6,"2.5","2","87.50"
"airbnb",12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,2,NULL,NULL,"50.66"
"airbnb",2,1,1,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,NULL,2,NULL,"1",NULL
"airbnb",8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2",3,NULL,NULL,NULL
"airbnb",19,1,1,1,1,0,1,1,1,1,1,0,1,0,1,0,1,1,0,"2",4,"1","2","64.47"
"airbnb",2,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0,0,1,"2",5,"1","0","101.31"
"airbnb",2,2,1,0,1,0,1,1,1,0,0,0,1,0,1,0,0,0,0,NULL,3,NULL,NULL,NULL
"airbnb",6,1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,"2",2,NULL,NULL,"110.52"
"airbnb",12,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,NULL,8,NULL,"2",NULL
"airbnb",3,2,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,"1",1,NULL,NULL,"19.34"
"airbnb",14,2,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,NULL,3,NULL,NULL,NULL
"booking",17,1,1,1,1,0,1,1,1,1,0,0,1,0,1,0,1,0,0,NULL,NULL,NULL,NULL,"104.5454545454545455"
"airbnb",10,2,1,0,1,0,0,1,1,1,0,0,1,0,1,0,0,0,1,"1",2,"1","1","29.47"
"airbnb",9,1,1,1,1,0,1,0,1,1,0,0,0,0,1,0,0,0,1,"2",4,"1","2","126.18"
"booking",15,1,1,1,1,0,0,1,1,1,0,0,1,0,1,0,1,1,0,NULL,NULL,NULL,NULL,"152.2500000000000000"
"airbnb",12,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,"2",4,"1","1","37.76"
"airbnb",3,2,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,NULL,2,NULL,NULL,NULL
"airbnb",15,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,"1",2,"1","0","35.00"
"airbnb",4,2,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"1",2,"1.5","1","25.79"
"booking",15,1,1,1,1,0,0,1,1,1,0,0,0,0,1,0,0,0,1,NULL,NULL,NULL,NULL,"166.3333333333333333"
"airbnb",10,1,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,0,1,"2",2,"1","1","62.63"
"airbnb",3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1",2,NULL,NULL,"46.97"
"airbnb",2,2,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NULL,2,NULL,NULL,NULL
"airbnb",7,1,1,1,1,0,0,1,1,1,0,0,1,0,1,0,0,0,0,"2",4,"1","1","138.15"
"airbnb",3,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,NULL,2,NULL,"1",NULL
"airbnb",15,2,1,1,1,0,1,1,1,1,0,0,1,1,1,0,1,1,1,NULL,3,NULL,NULL,NULL
"airbnb",5,2,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,"1",1,"1","1","41.45"
"airbnb",6,1,1,1,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,"4",8,"2","2","288.27"
"airbnb",15,1,1,1,1,0,1,1,1,1,0,0,0,0,1,0,1,0,0,"1",3,"1","1","73.68"
"airbnb",20,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,NULL,2,NULL,"1",NULL
"airbnb",14,2,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NULL,3,NULL,NULL,NULL
"airbnb",10,1,1,1,1,0,0,1,1,1,0,0,1,0,1,0,0,0,0,"3",6,"1","1","102.23"
"airbnb",9,1,1,1,1,0,1,1,1,1,1,0,1,0,1,0,0,0,1,"2",4,"1","1","156.57"
"airbnb",21,1,1,1,1,0,0,1,1,1,0,0,0,0,1,0,0,0,1,"1",2,"1.5","0","63.55"
"airbnb",6,1,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,"1",4,"1","1","100.39"
"airbnb",2,1,1,0,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,"1",4,"1","1","58.94"
"airbnb",5,1,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,NULL,5,NULL,"3",NULL
"airbnb",10,1,1,1,1,0,0,1,1,1,0,0,0,0,1,0,0,0,1,"2",4,"1","2","58.02"
"booking",21,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,"49.6363636363636364"
"airbnb",19,1,1,1,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,"3",6,"1","2","118.81"
"airbnb",18,1,1,1,1,0,0,1,1,1,0,0,1,0,1,0,0,0,1,"2",4,"1","1","69.08"
"airbnb",17,1,1,0,1,0,1,1,1,1,0,0,1,0,1,0,0,0,0,"1",2,"1","1","41.45"
"airbnb",6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2",4,NULL,NULL,NULL
"airbnb",1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1",4,"1","1","109.60"
"airbnb",1,1,1,1,1,0,1,1,1,1,0,0,1,0,1,0,1,0,1,"2",4,"1","1","156.57"
"airbnb",1,1,1,1,1,0,1,1,1,1,0,0,1,0,1,0,1,1,1,"3",4,"1","2","349.98"
"airbnb",12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1",2,NULL,NULL,"46.05"
"airbnb",4,1,1,1,1,0,1,1,1,1,0,0,1,0,1,0,1,0,0,"0",2,"1.5","1","92.10"
"airbnb",6,1,1,1,1,0,1,1,1,1,0,0,1,0,1,0,0,0,0,"2",4,"1","1","110.52"
"airbnb",3,2,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,"1",2,NULL,NULL,"38.68"
"airbnb",2,1,1,1,1,0,0,1,1,1,0,0,1,0,1,0,0,0,0,"1",3,"1","1","63.55"
